Z  N   AME2020   Prediction   Difference
015 017 -23.670    -22.920     -0.750
015 018 -25.850    -24.755     -1.095
015 019 -23.710    -20.128     -3.582
015 020 -24.680    -22.553     -2.127
015 021 -20.120    -19.191     -0.929
015 022 -19.910    -19.385     -0.525
015 023 -14.460    -13.095     -1.365
015 024 -13.740    -13.714     -0.026
015 025  -7.750     -9.237      1.487
015 026  -6.200     -7.629      1.429
015 027  -0.020     -1.551      1.531
015 028   3.790      3.678      0.112
015 029  10.410     12.251     -1.841
015 030  14.880     15.025     -0.145
015 031  22.840     25.221     -2.381
015 032  28.470     29.738     -1.268
015 033  37.020     39.672     -2.652
015 034  43.700     47.048     -3.348
015 035  53.880     54.186     -0.306
015 036  60.510     60.605     -0.095
015 037  70.930     71.406     -0.476
016 008  53.140     57.436     -4.296
016 009  42.220     42.295     -0.075
016 010  27.590     28.465     -0.875
016 011  20.420     17.982      2.438
016 012   4.600      0.649      3.951
016 013  -2.260     -5.417      3.157
016 014 -13.270    -14.114      0.844
016 015 -19.630    -19.491     -0.139
016 016 -26.900    -24.912     -1.988
016 017 -25.680    -27.720      2.040
016 018 -29.380    -30.869      1.489
016 019 -27.970    -29.370      1.400
016 020 -30.620    -31.179      0.559
016 021 -26.700    -27.521      0.821
016 022 -27.420    -28.324      0.904
016 023 -23.000    -24.707      1.707
016 024 -23.310    -23.834      0.524
016 025 -18.560    -19.003      0.443
016 026 -17.230    -17.103     -0.127
016 027 -11.960    -11.801     -0.159
016 028  -9.010     -6.926     -2.084
016 029  -3.250     -0.011     -3.239
016 030   0.620      0.491      0.129
016 031   8.130      6.656      1.474
016 032  13.030     10.953      2.077
016 033  21.320     20.587      0.733
016 034  26.680     29.153     -2.473
016 035  37.400     36.206      1.194
016 036  42.290     40.023      2.267
016 037  52.410     51.734      0.676
016 038  59.270     60.368     -1.098
017 008  68.860     71.247     -2.387
017 009  56.680     56.798     -0.118
017 010  40.560     40.321      0.239
017 011  30.260     24.325      5.935
017 012  15.600     12.583      3.017
017 013   6.290      6.197      0.093
017 014  -5.610     -5.155     -0.455
017 015 -12.700    -12.944      0.244
017 016 -20.200    -20.052     -0.148
017 017 -23.720    -24.487      0.767
017 018 -28.270    -30.418      2.148
017 019 -28.780    -29.688      0.908
017 020 -30.460    -30.820      0.360
017 021 -29.040    -28.458     -0.582
017 022 -29.870    -30.325      0.455
017 023 -27.450    -28.271      0.821
017 024 -28.290    -28.792      0.502
017 025 -24.480    -24.449     -0.031
017 026 -24.460    -23.106     -1.354
017 027 -20.220    -19.689     -0.531
017 028 -18.290    -16.484     -1.806
017 029 -13.320    -10.250     -3.070
017 030  -9.720    -10.665      0.945
017 031  -3.660     -4.624      0.964
017 032   1.130     -2.152      3.282
017 033   8.420      8.003      0.417
017 034  13.650     14.546     -0.896
017 035  21.900     23.100     -1.200
017 036  27.920     27.122      0.798
017 037  36.860     37.153     -0.293
017 038  44.200     45.905     -1.705
017 039  55.400     56.450     -1.050
017 040  61.170     63.383     -2.213
017 041  69.830     70.626     -0.796
017 042  76.760     78.278     -1.518
017 043  86.520     85.990      0.530
017 044  93.750     93.045      0.705
017 045 103.010    104.036     -1.026
017 046 111.380    111.763     -0.383
017 047 120.520    120.502      0.018
018 009  63.850     61.486      2.364
018 010  49.320     45.598      3.722
018 011  38.930     34.153      4.777
018 012  22.430     19.911      2.519
018 013  12.460     11.184      1.276
018 014  -1.480     -1.097     -0.383
018 015  -8.860    -10.142      1.282
018 016 -17.960    -19.465      1.505
018 017 -21.950    -23.822      1.872
018 018 -30.810    -29.930     -0.880
018 019 -31.760    -32.160      0.400
018 020 -35.760    -34.718     -1.042
018 021 -33.200    -33.483      0.283
018 022 -35.620    -35.311     -0.309
018 023 -33.210    -33.920      0.710
018 024 -35.750    -36.624      0.874
018 025 -31.510    -35.304      3.794
018 026 -32.760    -36.481      3.721
018 027 -29.430    -33.818      4.388
018 028 -28.860    -30.730      1.870
018 029 -24.620    -25.320      0.700
018 030 -21.760    -22.047      0.287
018 031 -15.990    -16.001      0.011
018 032 -12.240    -13.062      0.822
018 033  -5.460     -7.011      1.551
018 034  -0.970     -0.932     -0.038
018 035   6.510      5.534      0.976
018 036  12.210     10.186      2.024
018 037  20.680     18.891      1.789
018 038  26.760     27.572     -0.812
018 039  37.420     37.925     -0.505
018 040  41.890     45.632     -3.742
018 041  51.780     54.097     -2.317
018 042  57.430     58.253     -0.823
018 043  67.900     65.000      2.900
018 044  73.770     73.640      0.130
018 045  84.210     81.826      2.384
018 046  90.630     91.900     -1.270
018 047 100.550     98.073      2.477
018 048 108.400    107.559      0.841
019 010  64.300     54.051     10.249
019 011  51.380     50.653      0.727
019 012  35.800     38.493     -2.693
019 013  23.570     26.505     -2.935
019 014   9.660     12.253     -2.593
019 015  -0.350      1.492     -1.842
019 016  -9.860     -8.836     -1.024
019 017 -14.940    -12.871     -2.069
019 018 -25.520    -21.699     -3.821
019 019 -27.960    -26.501     -1.459
019 020 -34.070    -32.250     -1.820
019 021 -33.130    -32.117     -1.013
019 022 -36.150    -35.023     -1.127
019 023 -34.990    -36.507      1.517
019 024 -37.510    -39.927      2.417
019 025 -35.780    -39.172      3.392
019 026 -37.220    -40.540      3.320
019 027 -34.780    -39.302      4.522
019 028 -35.060    -38.855      3.795
019 029 -31.930    -33.975      2.045
019 030 -29.680    -30.503      0.823
019 031 -24.920    -26.205      1.285
019 032 -22.000    -23.848      1.848
019 033 -16.220    -20.152      3.932
019 034 -12.130    -13.143      1.013
019 035  -5.280     -5.993      0.713
019 036  -0.770     -0.151     -0.619
019 037   6.980      7.050     -0.070
019 038  12.210     13.032     -0.822
019 039  20.470     20.923     -0.453
019 040  25.860     26.655     -0.795
019 041  35.590     37.007     -1.417
019 042  40.910     41.059     -0.149
019 043  48.700     48.851     -0.151
019 044  56.060     56.295     -0.235
019 045  64.270     65.376     -1.106
019 046  74.410     73.349      1.061
019 047  80.390     82.846     -2.456
019 048  88.890     89.710     -0.820
019 049  97.510     98.860     -1.350
020 011  61.050     61.160     -0.110
020 012  43.760     45.965     -2.205
020 013  31.270     31.984     -0.714
020 014  16.210     15.646      0.564
020 015   6.130      6.773     -0.643
020 016  -5.700     -4.788     -0.912
020 017 -11.420    -11.595      0.175
020 018 -22.750    -20.975     -1.775
020 019 -27.130    -30.030      2.900
020 020 -34.860    -31.771     -3.089
020 021 -35.300    -35.016     -0.284
020 022 -39.550    -36.712     -2.838
020 023 -38.130    -39.119      0.989
020 024 -42.190    -41.246     -0.944
020 025 -40.930    -43.742      2.812
020 026 -43.320    -46.563      3.243
020 027 -41.750    -45.737      3.987
020 028 -43.520    -39.910     -3.610
020 029 -39.810    -34.956     -4.854
020 030 -39.110    -35.747     -3.363
020 031 -34.200    -32.489     -1.711
020 032 -32.890    -30.864     -2.026
020 033 -26.270    -26.813      0.543
020 034 -22.650    -21.342     -1.308
020 035 -17.120    -16.185     -0.935
020 036 -12.560     -9.663     -2.897
020 037  -5.870     -4.180     -1.690
020 038  -1.410     -1.611      0.201
020 039   5.970      6.088     -0.118
020 040  10.810     10.727      0.083
020 041  19.330     17.888      1.442
020 042  24.360     22.633      1.727
020 043  32.480     33.117     -0.637
020 044  37.820     38.745     -0.925
020 045  47.690     46.336      1.354
020 046  52.890     53.986     -1.096
020 047  62.310     61.713      0.597
020 048  68.470     69.207     -0.737
020 049  78.060     77.418      0.642
020 050  84.750     85.709     -0.959
021 011  75.340     72.124      3.216
021 012  56.580     59.074     -2.494
021 013  46.920     43.233      3.687
021 014  33.750     26.153      7.597
021 015  16.280     14.415      1.865
021 016   4.780      3.426      1.354
021 017  -2.550     -4.185      1.635
021 018 -13.870    -18.890      5.020
021 019 -19.720    -23.055      3.335
021 020 -28.860    -27.985     -0.875
021 021 -32.300    -31.504     -0.796
021 022 -37.690    -37.083     -0.607
021 023 -37.990    -38.731      0.741
021 024 -41.750    -41.622     -0.128
021 025 -41.850    -42.252      0.402
021 026 -44.630    -43.235     -1.395
021 027 -44.230    -40.597     -3.633
021 028 -46.070    -43.385     -2.685
021 029 -44.300    -43.746     -0.554
021 030 -43.430    -45.003      1.573
021 031 -40.140    -40.938      0.798
021 032 -38.520    -39.812      1.292
021 033 -34.040    -35.194      1.154
021 034 -31.420    -30.517     -0.903
021 035 -25.770    -24.886     -0.884
021 036 -22.660    -21.770     -0.890
021 037 -16.230    -15.744     -0.486
021 038 -12.810    -13.465      0.655
021 039  -6.020     -5.946     -0.074
021 040  -1.800     -1.437     -0.363
021 041   6.170      6.555     -0.385
021 042  10.440     10.933     -0.493
021 043  18.580     19.798     -1.218
021 044  23.670     24.816     -1.146
021 045  32.030     32.550     -0.520
021 046  37.510     37.757     -0.247
021 047  46.330     45.544      0.786
021 048  52.140     51.920      0.220
021 049  61.210     60.884      0.326
021 050  67.730     67.597      0.133
021 051  76.090     77.084     -0.994
021 052  83.730     83.467      0.263
021 053  92.610     92.640     -0.030
021 054 100.410     98.859      1.551
021 055 109.550    108.413      1.137
021 056 117.320    116.764      0.556
021 057 126.990    125.538      1.452
021 058 135.160    134.054      1.106
021 059 144.290    143.865      0.425
022 012  65.740     66.152     -0.412
022 013  51.340     56.036     -4.696
022 014  35.550     39.095     -3.545
022 015  24.110     24.828     -0.718
022 016  10.950     12.591     -1.641
022 017   2.030     -0.611      2.641
022 018  -9.030    -11.039      2.009
022 019 -15.950    -17.476      1.526
022 020 -24.230    -24.283      0.053
022 021 -30.550    -29.502     -1.048
022 022 -38.660    -34.853     -3.807
022 023 -39.700    -37.076     -2.624
022 024 -45.810    -39.956     -5.854
022 025 -44.660    -39.455     -5.205
022 026 -49.660    -43.579     -6.081
022 027 -48.810    -44.892     -3.918
022 028 -51.430    -49.004     -2.426
022 029 -49.680    -49.939      0.259
022 030 -49.740    -51.673      1.933
022 031 -46.670    -47.710      1.040
022 032 -46.300    -46.506      0.206
022 033 -41.860    -43.388      1.528
022 034 -40.670    -41.522      0.852
022 035 -34.950    -34.801     -0.149
022 036 -33.040    -32.938     -0.102
022 037 -27.290    -27.579      0.289
022 038 -24.360    -24.670      0.310
022 039 -17.690    -19.725      2.035
022 040 -14.510    -15.621      1.111
022 041  -7.010     -7.954      0.944
022 042  -3.230     -3.591      0.361
022 043   4.200      4.111      0.089
022 044   8.450      8.667     -0.217
022 045  16.700     16.035      0.665
022 046  21.260     19.886      1.374
022 047  29.310     27.863      1.447
022 048  35.130     34.479      0.651
022 049  43.590     42.684      0.906
022 050  50.020     51.054     -1.034
022 051  58.310     59.113     -0.803
022 052  65.410     67.001     -1.591
022 053  74.480     75.347     -0.867
022 054  81.880     82.419     -0.539
022 055  91.110     89.536      1.574
022 056  98.370     97.682      0.688
022 057 107.800    108.876     -1.076
022 058 115.860    116.259     -0.399
022 059 126.570    125.441      1.129
022 060 135.020    134.283      0.737
023 013  65.930     62.215      3.715
023 014  49.740     54.303     -4.563
023 015  39.670     42.638     -2.968
023 016  22.590     23.474     -0.884
023 017  12.340     14.539     -2.199
023 018   0.340     -0.796      1.136
023 019  -7.920     -4.797     -3.123
023 020 -18.220    -14.190     -4.030
023 021 -24.090    -19.047     -5.043
023 022 -32.890    -29.062     -3.828
023 023 -36.340    -33.146     -3.194
023 024 -42.680    -39.299     -3.381
023 025 -43.710    -40.738     -2.972
023 026 -47.940    -46.028     -1.912
023 027 -48.580    -47.078     -1.502
023 028 -51.570    -51.175     -0.395
023 029 -51.060    -52.242      1.182
023 030 -51.710    -55.499      3.789
023 031 -49.370    -53.242      3.872
023 032 -49.230    -52.886      3.656
023 033 -46.030    -48.002      1.972
023 034 -44.840    -48.227      3.387
023 035 -40.380    -40.672      0.292
023 036 -38.480    -39.204      0.724
023 037 -33.740    -33.007     -0.733
023 038 -31.140    -30.649     -0.491
023 039 -25.580    -26.424      0.844
023 040 -22.520    -25.043      2.523
023 041 -16.330    -18.349      2.019
023 042 -13.460    -14.827      1.367
023 043  -7.120     -7.567      0.447
023 044  -3.070     -4.189      1.119
023 045   3.920      4.662     -0.742
023 046   8.680      6.619      2.061
023 047  15.810     15.121      0.689
023 048  21.610     20.277      1.333
023 049  29.160     28.866      0.294
023 050  35.750     34.853      0.897
023 051  43.530     44.676     -1.146
023 052  50.270     50.735     -0.465
023 053  58.800     59.129     -0.329
023 054  65.680     65.050      0.630
023 055  74.530     74.101      0.429
023 056  82.040     79.685      2.355
023 057  91.140     90.704      0.436
023 058  99.110     99.118     -0.008
023 059 108.300    107.976      0.324
023 060 116.440    116.165      0.275
023 061 126.070    125.636      0.434
024 014  57.750     50.041      7.709
024 015  44.610     43.048      1.562
024 016  29.970     28.742      1.228
024 017  19.120     20.000     -0.880
024 018   5.490      6.684     -1.194
024 019  -2.870     -6.042      3.172
024 020 -14.180    -16.224      2.044
024 021 -20.230    -21.960      1.730
024 022 -30.880    -30.189     -0.691
024 023 -34.870    -35.823      0.953
024 024 -44.050    -42.378     -1.672
024 025 -45.230    -45.260      0.030
024 026 -51.380    -50.432     -0.948
024 027 -51.740    -51.813      0.073
024 028 -55.790    -55.747     -0.043
024 029 -55.540    -56.387      0.847
024 030 -57.110    -57.920      0.810
024 031 -55.140    -55.070     -0.070
024 032 -56.190    -56.612      0.422
024 033 -53.480    -52.817     -0.663
024 034 -53.270    -53.868      0.598
024 035 -49.230    -49.107     -0.123
024 036 -48.230    -47.930     -0.300
024 037 -43.720    -42.432     -1.288
024 038 -41.970    -40.548     -1.422
024 039 -37.000    -35.826     -1.174
024 040 -34.790    -34.207     -0.583
024 041 -29.280    -29.179     -0.101
024 042 -26.450    -26.488      0.038
