Z  N   AME2020   Prediction   Difference
008 008  -2.749     -2.609     -0.140
008 009   1.271      1.429     -0.159
008 010   0.905      1.387     -0.481
008 011   5.155      5.001      0.154
008 012   3.205      3.577     -0.372
008 013   9.086      8.750      0.336
008 014   9.408      9.499     -0.091
008 015  14.921     14.764      0.157
008 016  18.632     19.202     -0.570
009 008   4.209      4.662     -0.453
009 009   2.370      2.590     -0.220
009 010   0.901      0.963     -0.062
009 011  -0.896     -0.768     -0.128
009 012  -2.828     -2.567     -0.262
009 013   1.831      2.037     -0.206
009 014   1.503      1.438      0.064
009 015   5.546      5.474      0.072
009 016   9.419      9.834     -0.415
010 008   7.205      7.630     -0.425
010 009   4.125      3.725      0.400
010 010  -9.188     -9.131     -0.058
010 011  -6.223     -6.180     -0.043
010 012  -8.329     -7.941     -0.388
010 013  -4.806     -4.571     -0.234
010 014  -6.796     -6.505     -0.292
010 015  -3.006     -3.014      0.008
010 016  -0.187      0.190     -0.377
010 017   6.555      6.816     -0.260
010 018  11.008     11.028     -0.020
010 019  19.053     19.105     -0.053
010 020  22.290     23.060     -0.770
011 008  12.308     12.377     -0.069
011 009   5.993      5.606      0.387
011 010  -2.573     -2.991      0.418
011 011  -4.841     -4.949      0.108
011 012  -8.970     -9.201      0.231
011 013  -7.552     -7.992      0.440
011 014  -9.204     -9.742      0.538
011 015  -7.108     -6.830     -0.278
011 016  -5.291     -5.678      0.387
011 017  -0.456     -0.175     -0.282
011 018   2.957      2.787      0.170
011 019   9.750     10.211     -0.462
011 020  12.979     13.367     -0.388
011 021  20.678     21.047     -0.370
011 022  24.717     24.675      0.042
012 008  16.695     16.475      0.220
012 009   8.788      8.413      0.375
012 010  -0.250     -0.430      0.180
012 011  -4.618     -4.362     -0.256
012 012 -14.311    -14.452      0.141
012 013 -12.672    -12.888      0.215
012 014 -15.861    -15.963      0.102
012 015 -15.139    -15.144      0.005
012 016 -15.671    -15.258     -0.413
012 017 -10.461    -10.121     -0.340
012 018  -9.286     -8.977     -0.309
012 019  -2.315     -2.137     -0.178
012 020  -0.523     -0.561      0.038
012 021   5.906      6.553     -0.646
012 022   9.567      9.670     -0.103
012 023  17.505     17.475      0.031
012 024  21.572     22.252     -0.680
013 011   1.214      0.853      0.361
013 012  -7.964     -8.200      0.235
013 013 -12.172    -12.445      0.273
013 014 -17.170    -17.554      0.384
013 015 -16.858    -17.327      0.469
013 016 -17.545    -17.653      0.108
013 017 -14.835    -14.800     -0.035
013 018 -14.510    -14.337     -0.174
013 019 -10.219     -9.903     -0.316
013 020  -8.754     -8.936      0.182
013 021  -3.166     -3.052     -0.115
013 022  -0.643     -0.585     -0.058
013 023   5.823      5.650      0.173
013 024   8.814      9.012     -0.198
013 025  16.071     16.347     -0.275
013 026  20.275     20.081      0.194
014 008  33.955     34.033     -0.078
014 009  22.651     22.487      0.164
014 010  11.210     11.168      0.042
014 011   4.712      4.509      0.202
014 012  -6.677     -5.908     -0.769
014 013 -12.268    -11.831     -0.437
014 014 -20.962    -21.118      0.156
014 015 -22.092    -22.146      0.054
014 016 -23.832    -23.620     -0.212
014 017 -21.583    -21.570     -0.012
014 018 -23.331    -23.243     -0.088
014 019 -19.203    -19.349      0.146
014 020 -20.082    -20.001     -0.081
014 021 -14.553    -14.329     -0.224
014 022 -12.985    -13.065      0.080
014 023  -6.369     -6.254     -0.115
014 024  -4.699     -4.708      0.008
014 025   2.835      2.831      0.004
014 026   4.749      5.188     -0.438
014 027  12.413     12.551     -0.138
014 028  15.988     16.272     -0.284
014 029  23.357     23.886     -0.530
014 030  28.933     29.433     -0.500
015 012  -0.219     -0.695      0.475
015 013  -6.989     -6.954     -0.035
015 014 -16.798    -16.675     -0.124
015 015 -21.410    -20.937     -0.473
015 016 -24.745    -24.957      0.212
015 017 -23.576    -23.932      0.356
015 018 -25.719    -25.949      0.229
015 019 -23.601    -23.739      0.138
015 020 -24.585    -24.566     -0.020
015 021 -20.297    -20.649      0.351
015 022 -19.755    -19.996      0.241
015 023 -14.272    -14.555      0.283
015 024 -13.557    -13.554     -0.003
015 025  -7.545     -7.883      0.339
015 026  -5.978     -5.947     -0.031
015 027   0.187     -0.113      0.300
015 028   3.968      3.946      0.022
015 029  10.593     10.555      0.039
015 030  15.059     15.377     -0.318
015 031  22.997     23.188     -0.191
015 032  28.438     28.596     -0.158
016 010  27.605     27.797     -0.192
016 011  19.136     18.760      0.375
016 012   4.692      4.411      0.281
016 013  -2.202     -2.655      0.453
016 014 -13.214    -13.216      0.002
016 015 -19.555    -19.470     -0.085
016 016 -26.881    -27.130      0.249
016 017 -25.608    -25.980      0.372
016 018 -29.349    -29.575      0.226
016 019 -27.910    -27.910      0.000
016 020 -30.530    -30.275     -0.255
016 021 -26.614    -26.757      0.143
016 022 -27.374    -27.310     -0.065
016 023 -22.860    -22.746     -0.115
016 024 -23.211    -23.152     -0.060
016 025 -18.406    -18.176     -0.230
016 026 -17.098    -17.194      0.096
016 027 -11.818    -11.852      0.034
016 028  -8.909     -9.098      0.189
016 029  -3.122     -3.096     -0.026
016 030   0.732      1.092     -0.360
016 031   8.232      8.121      0.111
016 032  13.113     13.657     -0.545
017 015 -12.594    -12.574     -0.020
017 016 -20.123    -20.219      0.095
017 017 -23.689    -23.776      0.087
017 018 -28.166    -28.141     -0.025
017 019 -28.703    -28.625     -0.078
017 020 -30.398    -30.130     -0.268
017 021 -28.976    -28.897     -0.079
017 022 -29.784    -29.932      0.148
017 023 -27.334    -27.457      0.122
017 024 -28.190    -28.321      0.130
017 025 -24.377    -24.499      0.122
017 026 -24.370    -24.432      0.062
017 027 -20.123    -20.223      0.100
017 028 -18.192    -18.219      0.027
017 029 -13.237    -13.359      0.123
017 030  -9.656     -9.646     -0.009
017 031  -3.576     -3.426     -0.150
017 032   1.091      1.233     -0.142
017 033   8.470      8.538     -0.068
017 034  13.663     13.797     -0.134
018 012  22.462     22.709     -0.246
018 013  12.473     12.430      0.043
018 014  -1.282     -1.384      0.102
018 015  -8.784     -8.694     -0.090
018 016 -17.851    -17.805     -0.046
018 017 -21.891    -21.911      0.021
018 018 -30.755    -31.028      0.273
018 019 -31.607    -32.026      0.419
018 020 -35.609    -35.501     -0.108
018 021 -33.103    -33.514      0.411
018 022 -35.738    -35.712     -0.026
018 023 -33.134    -32.976     -0.158
018 024 -35.656    -35.303     -0.352
018 025 -31.406    -31.497      0.091
018 026 -32.743    -32.788      0.045
018 027 -29.429    -29.074     -0.355
018 028 -28.778    -28.674     -0.104
018 029 -24.552    -24.167     -0.385
018 030 -21.680    -21.451     -0.230
018 031 -15.986    -15.793     -0.192
018 032 -12.176    -11.973     -0.203
018 033  -5.510     -5.271     -0.238
018 034  -0.911     -0.743     -0.168
018 035   6.652      6.687     -0.035
018 036  12.238     12.585     -0.347
019 017 -14.871    -15.061      0.190
019 018 -25.414    -25.430      0.016
019 019 -27.918    -27.858     -0.060
019 020 -34.386    -34.200     -0.185
019 021 -33.029    -32.982     -0.047
019 022 -36.058    -36.511      0.453
019 023 -34.883    -34.895      0.013
019 024 -37.410    -37.564      0.154
019 025 -35.668    -35.629     -0.039
019 026 -37.116    -37.392      0.276
019 027 -34.689    -35.315      0.626
019 028 -34.968    -35.225      0.257
019 029 -31.836    -31.698     -0.139
019 030 -29.576    -29.846      0.270
019 031 -24.831    -24.606     -0.225
019 032 -21.889    -21.988      0.099
019 033 -16.172    -16.239      0.067
019 034 -12.062    -12.051     -0.011
019 035  -5.234     -4.955     -0.279
019 036  -0.703     -0.668     -0.035
019 037   7.059      7.429     -0.371
019 038  12.021     11.944      0.078
020 014  15.540     15.538      0.002
020 015   5.526      5.050      0.476
020 016  -5.625     -5.782      0.158
020 017 -11.457    -11.482      0.025
020 018 -22.684    -22.745      0.061
020 019 -27.034    -26.698     -0.336
020 020 -34.835    -34.996      0.161
020 021 -35.243    -35.158     -0.085
020 022 -39.540    -39.475     -0.065
020 023 -38.433    -38.154     -0.279
020 024 -42.249    -42.348      0.098
020 025 -40.822    -40.512     -0.309
020 026 -43.235    -43.386      0.151
020 027 -41.668    -41.625     -0.044
020 028 -43.439    -43.102     -0.337
020 029 -39.731    -39.545     -0.186
020 030 -39.018    -39.191      0.173
020 031 -34.114    -34.223      0.109
020 032 -32.789    -32.578     -0.211
020 033 -26.284    -26.130     -0.154
020 034 -22.678    -22.761      0.084
020 035 -17.059    -16.863     -0.196
020 036 -12.571    -12.215     -0.356
020 037  -5.848     -5.732     -0.116
020 038  -1.419     -1.219     -0.200
020 039   5.360      5.280      0.079
020 040  10.788     11.026     -0.237
020 041  18.195     18.039      0.155
020 042  24.323     24.041      0.281
021 020 -28.778    -29.045      0.267
021 021 -32.309    -32.447      0.138
021 022 -37.625    -37.711      0.085
021 023 -37.890    -37.929      0.039
021 024 -41.658    -41.837      0.179
021 025 -41.771    -41.696     -0.075
021 026 -44.559    -44.342     -0.217
021 027 -44.172    -44.400      0.228
021 028 -46.013    -46.017      0.004
021 029 -44.235    -44.020     -0.215
