Z  N   AME2020   Prediction   Difference
008 008  -2.750     -3.005      0.255
008 009   1.270      1.779     -0.509
008 010   0.930      0.897      0.033
008 011   5.150      5.113      0.037
008 012   3.240      3.440     -0.200
008 013   9.080      8.791      0.289
008 014   9.380      9.073      0.307
008 015  14.860     14.498      0.362
008 016  19.130     19.203     -0.073
008 017  29.590     29.490      0.100
008 018  34.840     34.867     -0.027
008 019  46.970     46.775      0.195
008 020  50.690     50.839     -0.149
008 021  62.850     62.924     -0.074
008 022  70.200     69.855      0.345
008 023  80.500     79.904      0.596
008 024  88.100     87.898      0.202
008 025  96.020     96.571     -0.551
008 026 106.500    106.419      0.081
009 008   4.210      4.396     -0.186
009 009   2.370      2.226      0.144
009 010   0.890      0.142      0.748
009 011  -0.910     -0.603     -0.307
009 012  -2.850     -2.607     -0.243
009 013   1.810      1.890     -0.080
009 014   1.470      1.186      0.284
009 015   5.470      5.590     -0.120
009 016   9.310      9.331     -0.021
009 017  17.510     17.276      0.234
009 018  22.410     22.406      0.004
009 019  32.250     32.363     -0.113
009 020  37.380     37.038      0.342
009 021  47.410     47.745     -0.335
009 022  53.590     53.629     -0.039
009 023  64.570     64.827     -0.257
009 024  71.940     72.087     -0.147
009 025  82.100     81.947      0.153
009 026  90.300     90.207      0.093
009 027  99.820     99.919     -0.099
009 028 109.040    109.312     -0.272
009 029 120.280    119.758      0.522
010 008   7.320      6.896      0.424
010 009   4.110      3.816      0.294
010 010  -9.140     -9.658      0.518
010 011  -6.270     -6.272      0.002
010 012  -8.290     -8.403      0.113
010 013  -4.790     -4.950      0.160
010 014  -6.810     -6.624     -0.186
010 015  -3.020     -3.046      0.026
010 016  -0.130     -0.123     -0.007
010 017   6.450      6.571     -0.121
010 018  10.840     10.799      0.041
010 019  18.870     18.600      0.270
010 020  22.100     22.084      0.016
010 021  32.630     32.593      0.037
010 022  37.730     37.298      0.432
010 023  47.580     47.736     -0.156
010 024  53.750     54.075     -0.325
010 025  64.350     63.805      0.545
010 026  71.100     70.675      0.425
010 027  81.270     81.039      0.231
010 028  88.320     88.171      0.149
010 029 100.100     99.600      0.500
010 030 106.620    106.279      0.341
010 031 117.870    117.447      0.423
010 032 124.200    124.465     -0.265
011 008  12.380     12.617     -0.237
011 009   6.090      5.510      0.580
011 010  -2.590     -2.244     -0.346
011 011  -4.810     -4.583     -0.227
011 012  -8.980     -8.902     -0.078
011 013  -7.520     -7.796      0.276
011 014  -9.160     -9.283      0.123
011 015  -7.120     -7.054     -0.066
011 016  -5.250     -5.077     -0.173
011 017  -0.530     -0.415     -0.115
011 018   2.820      2.586      0.234
011 019   9.600      9.228      0.372
011 020  12.810     12.692      0.118
011 021  20.460     20.355      0.105
011 022  25.070     24.969      0.101
011 023  32.830     32.690      0.140
011 024  38.300     37.880      0.420
011 025  47.060     46.902      0.158
011 026  53.550     53.561     -0.011
011 027  62.930     63.320     -0.390
011 028  70.260     70.259      0.001
011 029  80.070     80.209     -0.139
011 030  87.610     87.770     -0.160
011 031  97.660     98.044     -0.384
011 032 105.460    105.269      0.191
011 033 115.340    115.340     -0.000
012 008  16.770     16.956     -0.186
012 009   8.820      8.948     -0.128
012 010  -0.190     -0.155     -0.035
012 011  -4.680     -4.907      0.227
012 012 -14.280    -14.578      0.298
012 013 -12.720    -12.701     -0.019
012 014 -15.880    -15.712     -0.168
012 015 -15.100    -14.761     -0.339
012 016 -15.710    -15.596     -0.114
012 017 -10.520    -10.870      0.350
012 018  -9.370     -9.320     -0.050
012 019  -2.440     -2.871      0.431
012 020  -0.690     -0.686     -0.004
012 021   5.700      5.832     -0.132
012 022   9.300      8.799      0.501
012 023  17.220     17.022      0.198
012 024  21.320     21.178      0.142
012 025  29.590     29.195      0.395
012 026  34.880     34.739      0.141
012 027  43.540     43.957     -0.417
012 028  50.250     49.955      0.295
012 029  59.880     59.741      0.139
012 030  65.980     65.835      0.145
012 031  75.680     75.652      0.028
012 032  82.860     82.774      0.086
012 033  92.750     92.572      0.178
012 034  99.720     99.802     -0.082
013 008  28.120     27.882      0.238
013 009  17.570     17.097      0.473
013 010   7.970      8.031     -0.061
013 011   1.190      1.185      0.005
013 012  -8.000     -7.901     -0.099
013 013 -12.160    -12.406      0.246
013 014 -17.250    -17.035     -0.215
013 015 -16.880    -17.178      0.298
013 016 -17.590    -17.682      0.092
013 017 -14.920    -15.405      0.485
013 018 -14.620    -14.599     -0.021
013 019 -10.370    -10.495      0.125
013 020  -8.930     -9.019      0.089
013 021  -3.370     -3.527      0.157
013 022  -0.870     -1.155      0.285
013 023   5.550      5.708     -0.158
013 024   8.530      8.543     -0.013
013 025  15.780     15.631      0.149
013 026  20.000     19.873      0.127
013 027  28.120     27.868      0.252
013 028  33.630     33.698     -0.068
013 029  41.610     41.728     -0.118
013 030  47.690     47.918     -0.228
013 031  56.720     56.543      0.177
013 032  63.660     63.665     -0.005
013 033  72.860     72.896     -0.036
013 034  80.910     80.616      0.294
013 035  89.900     90.197     -0.297
014 008  34.050     34.093     -0.043
014 009  22.610     22.277      0.333
014 010  11.230     11.573     -0.343
014 011   4.670      4.636      0.034
014 012  -6.380     -6.176     -0.204
014 013 -12.320    -12.370      0.050
014 014 -20.960    -21.361      0.401
014 015 -22.170    -22.160     -0.010
014 016 -23.910    -23.845     -0.065
014 017 -21.600    -21.664      0.064
014 018 -23.430    -23.192     -0.238
014 019 -19.330    -19.044     -0.286
014 020 -20.240    -20.046     -0.194
014 021 -14.090    -14.119      0.029
014 022 -13.170    -13.377      0.207
014 023  -6.570     -6.872      0.302
014 024  -4.920     -4.827     -0.093
014 025   2.570      2.235      0.335
014 026   4.500      4.349      0.151
014 027  12.180     11.891      0.289
014 028  15.770     15.671      0.099
014 029  23.140     22.821      0.319
014 030  28.710     28.496      0.214
014 031  37.390     37.415     -0.025
014 032  43.780     43.671      0.109
014 033  52.970     52.916      0.054
014 034  60.390     60.118      0.272
014 035  69.260     69.119      0.141
014 036  76.990     76.960      0.030
015 008  46.610     45.968      0.642
015 009  32.830     32.480      0.350
015 010  20.730     20.769     -0.039
015 011  13.080     12.949      0.131
015 012  -0.210     -0.086     -0.124
015 013  -7.130     -7.300      0.170
015 014 -16.890    -17.029      0.139
015 015 -21.440    -21.421     -0.019
015 016 -24.830    -24.479     -0.351
015 017 -23.670    -24.010      0.340
015 018 -25.850    -25.487     -0.363
015 019 -23.710    -23.439     -0.271
015 020 -24.680    -24.660     -0.020
015 021 -20.120    -20.458      0.338
015 022 -19.910    -20.141      0.231
015 023 -14.460    -14.535      0.075
015 024 -13.740    -13.436     -0.304
015 025  -7.750     -8.093      0.343
015 026  -6.200     -5.995     -0.205
015 027  -0.020     -0.429      0.409
015 028   3.790      4.061     -0.271
015 029  10.410     10.620     -0.210
015 030  14.880     15.224     -0.344
015 031  22.840     23.116     -0.276
015 032  28.470     28.340      0.130
015 033  37.020     37.175     -0.155
015 034  43.700     43.836     -0.136
015 035  53.880     53.835      0.045
015 036  60.510     60.599     -0.089
015 037  70.930     71.084     -0.154
016 008  53.140     53.514     -0.374
016 009  42.220     42.270     -0.050
016 010  27.590     27.506      0.084
016 011  20.420     20.450     -0.030
016 012   4.600      4.617     -0.017
016 013  -2.260     -2.245     -0.015
016 014 -13.270    -13.395      0.125
016 015 -19.630    -19.555     -0.075
016 016 -26.900    -26.729     -0.171
016 017 -25.680    -25.612     -0.068
016 018 -29.380    -29.480      0.100
016 019 -27.970    -27.817     -0.153
016 020 -30.620    -30.474     -0.146
016 021 -26.700    -26.801      0.101
016 022 -27.420    -27.412     -0.008
016 023 -23.000    -23.070      0.070
016 024 -23.310    -23.525      0.215
016 025 -18.560    -18.691      0.131
016 026 -17.230    -17.229     -0.001
016 027 -11.960    -12.144      0.184
016 028  -9.010     -9.192      0.182
016 029  -3.250     -3.554      0.304
016 030   0.620      0.651     -0.031
016 031   8.130      8.258     -0.128
016 032  13.030     12.900      0.130
016 033  21.320     21.411     -0.091
016 034  26.680     26.638      0.042
016 035  37.400     36.939      0.461
016 036  42.290     42.393     -0.103
016 037  52.410     52.812     -0.402
016 038  59.270     59.228      0.042
017 008  68.860     68.418      0.442
017 009  56.680     56.700     -0.020
017 010  40.560     40.003      0.557
017 011  30.260     30.065      0.195
017 012  15.600     15.552      0.048
017 013   6.290      6.313     -0.023
017 014  -5.610     -5.695      0.085
017 015 -12.700    -12.910      0.210
017 016 -20.200    -20.498      0.298
017 017 -23.720    -23.901      0.181
017 018 -28.270    -28.581      0.311
017 019 -28.780    -28.562     -0.218
017 020 -30.460    -30.786      0.326
017 021 -29.040    -29.369      0.329
017 022 -29.870    -30.264      0.394
017 023 -27.450    -27.509      0.059
017 024 -28.290    -28.230     -0.060
017 025 -24.480    -24.439     -0.041
017 026 -24.460    -24.499      0.039
017 027 -20.220    -20.229      0.009
017 028 -18.290    -18.246     -0.044
017 029 -13.320    -13.307     -0.013
017 030  -9.720     -9.754      0.034
017 031  -3.660     -3.702      0.042
017 032   1.130      1.015      0.115
017 033   8.420      8.333      0.087
017 034  13.650     13.775     -0.125
017 035  21.900     22.039     -0.139
017 036  27.920     28.070     -0.150
017 037  36.860     37.284     -0.424
017 038  44.200     44.232     -0.032
017 039  55.400     55.016      0.384
017 040  61.170     61.019      0.151
017 041  69.830     69.969     -0.139
017 042  76.760     77.135     -0.375
017 043  86.520     86.117      0.403
017 044  93.750     93.722      0.028
017 045 103.010    103.087     -0.077
017 046 111.380    111.331      0.049
017 047 120.520    120.770     -0.250
018 009  63.850     64.161     -0.311
018 010  49.320     49.312      0.008
018 011  38.930     38.615      0.315
018 012  22.430     22.591     -0.161
018 013  12.460     12.479     -0.019
018 014  -1.480     -1.509      0.029
018 015  -8.860     -8.709     -0.151
018 016 -17.960    -18.339      0.379
018 017 -21.950    -21.877     -0.073
018 018 -30.810    -30.903      0.093
018 019 -31.760    -31.075     -0.685
018 020 -35.760    -35.585     -0.175
018 021 -33.200    -33.172     -0.028
018 022 -35.620    -35.960      0.340
018 023 -33.210    -33.226      0.016
018 024 -35.750    -35.841      0.091
018 025 -31.510    -31.861      0.351
018 026 -32.760    -32.665     -0.095
018 027 -29.430    -29.647      0.217
018 028 -28.860    -29.112      0.252
018 029 -24.620    -24.747      0.127
018 030 -21.760    -21.810      0.050
018 031 -15.990    -15.950     -0.040
018 032 -12.240    -12.072     -0.168
018 033  -5.460     -5.548      0.088
018 034  -0.970     -0.710     -0.260
018 035   6.510      6.789     -0.279
018 036  12.210     12.087      0.123
018 037  20.680     20.605      0.075
018 038  26.760     26.619      0.141
018 039  37.420     36.951      0.469
018 040  41.890     41.561      0.329
018 041  51.780     51.615      0.165
018 042  57.430     57.174      0.256
018 043  67.900     67.335      0.565
018 044  73.770     73.903     -0.133
018 045  84.210     83.944      0.266
018 046  90.630     90.739     -0.109
018 047 100.550    100.870     -0.320
018 048 108.400    108.168      0.232
019 010  64.300     63.321      0.979
019 011  51.380     51.690     -0.310
019 012  35.800     36.045     -0.245
019 013  23.570     23.496      0.074
019 014   9.660      9.715     -0.055
019 015  -0.350     -0.203     -0.147
019 016  -9.860     -9.644     -0.216
019 017 -14.940    -15.226      0.286
019 018 -25.520    -25.071     -0.449
019 019 -27.960    -27.874     -0.086
019 020 -34.070    -34.082      0.012
019 021 -33.130    -33.143      0.013
019 022 -36.150    -36.200      0.050
019 023 -34.990    -35.011      0.021
019 024 -37.510    -37.416     -0.094
019 025 -35.780    -35.536     -0.244
019 026 -37.220    -37.276      0.056
019 027 -34.780    -35.147      0.367
019 028 -35.060    -35.376      0.316
019 029 -31.930    -31.958      0.028
019 030 -29.680    -29.787      0.107
019 031 -24.920    -24.901     -0.019
019 032 -22.000    -22.005      0.005
019 033 -16.220    -16.285      0.065
019 034 -12.130    -12.156      0.026
019 035  -5.280     -5.360      0.080
019 036  -0.770     -0.810      0.040
019 037   6.980      6.932      0.048
019 038  12.210     12.163      0.047
019 039  20.470     20.221      0.249
019 040  25.860     25.966     -0.106
019 041  35.590     35.233      0.357
019 042  40.910     40.871      0.039
019 043  48.700     49.033     -0.333
019 044  56.060     55.933      0.127
019 045  64.270     64.163      0.107
019 046  74.410     73.445      0.965
019 047  80.390     80.631     -0.241
019 048  88.890     89.027     -0.137
019 049  97.510     96.849      0.661
020 011  61.050     60.496      0.554
020 012  43.760     43.992     -0.232
020 013  31.270     31.021      0.249
020 014  16.210     16.296     -0.086
020 015   6.130      6.231     -0.101
020 016  -5.700     -5.856      0.156
020 017 -11.420    -11.754      0.334
020 018 -22.750    -22.844      0.094
020 019 -27.130    -27.136      0.006
020 020 -34.860    -34.849     -0.011
020 021 -35.300    -35.260     -0.040
020 022 -39.550    -39.650      0.100
020 023 -38.130    -38.633      0.503
020 024 -42.190    -42.085     -0.105
020 025 -40.930    -40.887     -0.043
020 026 -43.320    -43.300     -0.020
020 027 -41.750    -41.839      0.089
020 028 -43.520    -43.616      0.096
020 029 -39.810    -39.973      0.163
020 030 -39.110    -39.296      0.186
020 031 -34.200    -34.169     -0.031
020 032 -32.890    -32.579     -0.311
020 033 -26.270    -26.538      0.268
020 034 -22.650    -22.849      0.199
020 035 -17.120    -17.195      0.075
020 036 -12.560    -12.413     -0.147
020 037  -5.870     -5.914      0.044
020 038  -1.410     -1.351     -0.059
020 039   5.970      5.631      0.339
020 040  10.810     10.926     -0.116
020 041  19.330     19.019      0.311
020 042  24.360     24.327      0.033
020 043  32.480     32.510     -0.030
020 044  37.820     38.146     -0.326
020 045  47.690     47.376      0.314
020 046  52.890     53.091     -0.201
020 047  62.310     62.509     -0.199
020 048  68.470     68.716     -0.246
020 049  78.060     77.915      0.145
020 050  84.750     84.577      0.173
021 011  75.340     75.033      0.307
021 012  56.580     56.738     -0.158
021 013  46.920     46.822      0.098
021 014  33.750     33.000      0.750
021 015  16.280     16.497     -0.217
021 016   4.780      4.745      0.035
021 017  -2.550     -2.689      0.139
021 018 -13.870    -14.308      0.438
021 019 -19.720    -20.138      0.418
021 020 -28.860    -29.073      0.213
021 021 -32.300    -32.328      0.028
021 022 -37.690    -37.951      0.261
021 023 -37.990    -38.072      0.082
021 024 -41.750    -41.896      0.146
021 025 -41.850    -41.899      0.049
021 026 -44.630    -44.735      0.105
021 027 -44.230    -44.485      0.255
021 028 -46.070    -46.021     -0.049
021 029 -44.300    -43.965     -0.335
021 030 -43.430    -43.298     -0.132
021 031 -40.140    -39.677     -0.463
021 032 -38.520    -38.560      0.040
021 033 -34.040    -34.168      0.128
021 034 -31.420    -31.352     -0.068
021 035 -25.770    -25.889      0.119
021 036 -22.660    -22.410     -0.250
021 037 -16.230    -16.349      0.119
021 038 -12.810    -12.671     -0.139
021 039  -6.020     -5.707     -0.313
021 040  -1.800     -1.910      0.110
021 041   6.170      6.001      0.169
021 042  10.440     10.468     -0.028
021 043  18.580     18.493      0.087
021 044  23.670     23.647      0.023
021 045  32.030     31.850      0.180
021 046  37.510     37.468      0.042
021 047  46.330     46.084      0.246
021 048  52.140     52.237     -0.097
021 049  61.210     60.956      0.254
021 050  67.730     67.478      0.252
021 051  76.090     76.216     -0.126
021 052  83.730     83.853     -0.123
021 053  92.610     92.737     -0.127
021 054 100.410    100.568     -0.158
021 055 109.550    109.463      0.087
021 056 117.320    117.842     -0.522
021 057 126.990    127.133     -0.143
021 058 135.160    135.431     -0.271
021 059 144.290    144.132      0.158
022 012  65.740     65.422      0.318
022 013  51.340     51.729     -0.389
022 014  35.550     35.595     -0.045
022 015  24.110     24.358     -0.248
