Z  N   AME2020   Prediction   Difference
013 010   6.748      6.788     -0.040
013 011  -0.049     -0.074      0.025
013 012  -8.916     -8.089     -0.827
013 013 -12.210    -11.212     -0.998
013 014 -17.197    -16.997     -0.200
013 015 -16.851    -16.864      0.013
013 016 -18.208    -18.545      0.337
013 017 -15.864    -16.667      0.803
013 018 -14.951    -14.668     -0.283
013 019 -11.099     -9.966     -1.133
013 020  -8.497     -8.456     -0.041
013 021  -2.998     -2.980     -0.018
013 022  -0.224     -0.439      0.215
013 023   5.950      5.823      0.127
013 024   9.810      9.070      0.740
014 010  10.745     11.020     -0.275
014 011   3.827      4.065     -0.238
014 012  -7.141     -7.151      0.010
014 013 -12.385    -12.752      0.367
014 014 -21.493    -21.669      0.176
014 015 -21.895    -21.708     -0.187
014 016 -24.433    -24.229     -0.204
014 017 -22.949    -23.386      0.437
014 018 -24.078    -23.871     -0.207
014 019 -20.514    -19.607     -0.907
014 020 -19.992    -19.876     -0.116
014 021 -14.391    -14.110     -0.281
014 022 -12.436    -12.526      0.090
014 023  -6.572     -6.830      0.258
014 024  -4.170     -4.059     -0.111
014 025   2.320      1.921      0.399
014 026   5.667      5.587      0.080
015 012  -0.659     -0.554     -0.105
015 013  -7.148     -7.121     -0.027
015 014 -16.953    -16.035     -0.918
015 015 -20.201    -19.885     -0.316
015 016 -24.441    -24.325     -0.116
015 017 -24.305    -24.019     -0.286
015 018 -26.337    -26.179     -0.158
015 019 -24.549    -24.311     -0.238
015 020 -24.858    -24.658     -0.200
015 021 -20.251    -20.206     -0.045
015 022 -18.996    -18.961     -0.035
015 023 -14.622    -14.834      0.212
015 024 -12.775    -12.714     -0.061
015 025  -8.139     -8.102     -0.037
015 026  -4.980     -4.795     -0.185
015 027   1.092      1.159     -0.067
016 012   4.073      3.787      0.286
016 013  -3.094     -3.565      0.471
016 014 -14.059    -14.041     -0.018
016 015 -19.043    -18.992     -0.051
016 016 -26.016    -25.769     -0.247
016 017 -26.586    -26.630      0.044
016 018 -29.932    -28.800     -1.132
016 019 -28.846    -28.579     -0.267
016 020 -30.664    -30.375     -0.289
016 021 -26.896    -27.183      0.287
016 022 -26.861    -27.195      0.334
016 023 -23.163    -23.924      0.761
016 024 -22.838    -22.744     -0.094
016 025 -19.009    -18.717     -0.292
016 026 -17.638    -16.554     -1.084
016 027 -12.195    -12.263      0.068
016 028  -9.204     -9.183     -0.021
017 013   4.675      0.469      4.206
017 014  -7.035     -7.220      0.185
017 015 -13.335    -13.348      0.013
017 016 -21.003    -21.039      0.036
017 017 -24.440    -24.721      0.281
017 018 -29.014    -28.973     -0.041
017 019 -29.522    -28.126     -1.396
017 020 -31.762    -31.797      0.035
017 021 -29.798    -29.780     -0.018
017 022 -29.800    -29.966      0.166
017 023 -27.558    -28.115      0.557
017 024 -27.307    -27.120     -0.187
017 025 -24.832    -24.616     -0.216
017 026 -24.160    -23.821     -0.339
017 027 -20.479    -20.519      0.040
017 028 -18.263    -18.439      0.176
017 029 -13.735    -13.593     -0.142
018 014  -2.200     -2.175     -0.025
018 015  -9.384     -9.213     -0.171
018 016 -18.378    -17.907     -0.471
018 017 -23.047    -23.017     -0.030
018 018 -30.232    -30.217     -0.015
018 019 -30.948    -30.787     -0.161
018 020 -34.715    -34.586     -0.129
018 021 -33.242    -33.163     -0.079
018 022 -35.040    -35.372      0.332
018 023 -33.068    -33.202      0.134
018 024 -34.423    -34.395     -0.028
018 025 -32.010    -32.245      0.235
018 026 -32.673    -32.628     -0.045
018 027 -29.771    -30.712      0.941
018 028 -29.771    -29.789      0.018
018 029 -25.367    -25.434      0.067
018 030 -22.355    -22.535      0.180
019 016 -11.173    -10.977     -0.196
019 017 -17.417    -17.751      0.334
019 018 -24.800    -24.697     -0.103
019 019 -28.801    -28.781     -0.020
019 020 -33.807    -33.722     -0.085
019 021 -33.535    -33.390     -0.145
019 022 -35.560    -35.966      0.406
019 023 -35.022    -35.548      0.526
019 024 -36.575    -36.527     -0.048
019 025 -35.781    -36.386      0.605
019 026 -36.616    -36.915      0.299
019 027 -35.414    -35.723      0.309
019 028 -35.712    -35.810      0.098
019 029 -32.284    -32.312      0.028
019 030 -29.611    -29.957      0.346
019 031 -25.728    -25.896      0.168
019 032 -22.515    -22.443     -0.072
019 033 -17.138    -16.303     -0.835
019 034 -12.296    -11.896     -0.400
020 016  -6.451     -6.487      0.036
020 017 -13.136    -13.176      0.040
020 018 -22.059    -22.265      0.206
020 019 -27.283    -26.929     -0.354
020 020 -34.846    -34.736     -0.110
020 021 -35.138    -35.081     -0.057
020 022 -38.547    -39.008      0.461
020 023 -38.409    -38.221     -0.188
020 024 -41.469    -41.155     -0.314
020 025 -40.812    -40.769     -0.043
020 026 -43.140    -43.130     -0.010
020 027 -42.345    -42.456      0.111
020 028 -44.225    -43.956     -0.269
020 029 -41.300    -41.065     -0.235
020 030 -39.589    -39.515     -0.074
020 031 -36.332    -36.126     -0.206
020 032 -34.266    -34.114     -0.152
020 033 -29.388    -28.902     -0.486
020 034 -25.161    -25.069     -0.092
020 035 -18.650    -18.732      0.082
020 036 -13.510    -13.399     -0.111
021 018 -14.173    -14.110     -0.063
021 019 -20.523    -20.582      0.059
021 020 -28.642    -29.609      0.967
021 021 -32.121    -32.154      0.033
021 022 -36.188    -37.350      1.162
021 023 -37.816    -37.710     -0.106
021 024 -41.072    -40.897     -0.175
021 025 -41.762    -41.131     -0.631
021 026 -44.337    -44.143     -0.194
021 027 -44.504    -44.165     -0.339
021 028 -46.562    -46.063     -0.499
021 029 -44.537    -44.258     -0.279
