Z  N   AME2020   Prediction   Difference
008 008  -2.755     -2.479     -0.276
008 009   1.276      0.827      0.450
008 010   0.883     -1.236      2.119
008 011   5.145      2.241      2.904
008 012   3.232      3.132      0.100
008 013   9.105      8.866      0.239
008 014   9.453     10.057     -0.604
008 015  15.001     14.884      0.117
008 016  18.715     14.403      4.312
009 008   4.217      4.949     -0.733
009 009   2.382      3.543     -1.161
009 010   0.926     -0.011      0.938
009 011  -0.893     -0.600     -0.293
009 012  -2.795     -3.008      0.213
009 013   1.882      0.377      1.506
009 014   1.555      2.617     -1.062
009 015   5.636      6.764     -1.128
009 016   9.511      8.412      1.099
010 008   7.125      6.900      0.225
010 009   4.111      3.999      0.111
010 010  -9.325     -6.089     -3.235
010 011  -6.354     -5.706     -0.648
010 012  -8.415     -6.940     -1.475
010 013  -4.857     -2.578     -2.279
010 014  -6.826     -1.417     -5.409
010 015  -3.021      2.444     -5.464
010 016  -0.189      6.861     -7.049
010 017   6.533      9.083     -2.550
010 018  11.011     14.173     -3.162
010 019  19.016     19.780     -0.764
010 020  22.238     24.077     -1.839
011 008  12.001      6.688      5.313
011 009   5.949      5.167      0.783
011 010  -2.558     -0.416     -2.142
011 011  -4.880     -1.378     -3.502
011 012  -8.974     -5.871     -3.103
011 013  -7.520     -6.517     -1.003
011 014  -9.148     -9.359      0.211
011 015  -7.040     -6.319     -0.721
011 016  -5.217     -3.473     -1.744
011 017  -0.398     -0.024     -0.374
011 018   3.020      3.083     -0.063
011 019   9.772      9.712      0.060
011 020  12.982     13.603     -0.621
011 021  20.724     24.179     -3.455
011 022  24.791     27.584     -2.792
012 008  16.686     15.396      1.290
012 009   8.725      8.421      0.304
012 010  -0.407      0.050     -0.457
012 011  -4.657     -4.616     -0.042
012 012 -14.410    -12.193     -2.218
012 013 -12.726    -10.858     -1.868
012 014 -15.895     -6.937     -8.959
012 015 -15.143     -4.696    -10.446
012 016 -15.677     -3.325    -12.352
012 017 -10.482     -4.455     -6.028
012 018  -9.339     -5.896     -3.443
012 019  -2.362     -3.157      0.795
012 020  -0.578     -0.665      0.087
012 021   5.891      5.817      0.075
012 022   9.565     10.826     -1.261
012 023  17.478     15.641      1.837
012 024  21.593     20.053      1.540
013 011   1.200      0.279      0.921
013 012  -7.922     -9.373      1.451
013 013 -12.094    -10.508     -1.586
013 014 -17.069    -11.578     -5.491
013 015 -16.743    -13.915     -2.828
